Topic Number,ChatGPT Label,Manual Label,Classification,Mean doc. weight,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7,Term 8,Term 9,Term 10,Term 11,Term 12,Term 13,Term 14,Term 15,Term 16,Term 17,Term 18,Term 19,Term 20
1,Cognitive Control and Task Performance,NA,NonPsychological,0.3172,tasks,control,network,conditions,comparison,performed,common,correlates,experiment,pre,active,relative,underlying,distinct,substrates,cognitive,performing,process,shown,addition
2,Developmental Aging and Maturation,NA,NonPsychological,0.0502,age,adults,children,development,adolescents,aging,developmental,adolescence,childhood,adult,aged,maturation,adulthood,elderly,reduced,adolescent,ages,late,developing,range
3,Eye Movements and Visual Attention,eye_movement,Exclude,0.0170,eye,gaze,eyes,visual,saccades,movements,saccade,direction,gait,target,fixation,guided,pursuit,oculomotor,movement,walking,saccadic,control,closed,direct
4,Facial and Voice Recognition,recognition,Exclude,0.0182,recognition,familiar,identity,unfamiliar,voice,familiarity,route,voices,fg,facial,atl,famous,person,names,perception,people,expression,discrimination,personally,condition
5,Social Interaction and Contextual Behavior,context,Exclude,0.0169,context,game,human,interaction,ppi,contextual,contexts,agency,interactions,partner,cooperation,behavior,psychophysiological,avh,trust,partners,played,computer,virtual,online
6,Language Processing and Semantic Knowledge,semantic,Exclude,0.0415,semantic,words,word,lexical,verbal,language,tasks,naming,fluency,phonological,decision,frequency,picture,retrieval,meaning,knowledge,semantically,pictures,relative,recognition
7,Experimental Design and Behavioral Performance,NA,NonPsychological,0.1003,trials,stimulus,responses,trial,reaction,time,event,target,events,times,paradigm,rt,behavioral,performance,novelty,change,targets,visual,correct,oddball
8,Genetic Polymorphisms and Risk Factors,NA,NonPsychological,0.0106,carriers,allele,gene,genotype,met,genetic,polymorphism,val,comt,rs,risk,httlpr,dopamine,variation,mutation,effect,genes,individuals,dat,bdnf
9,Sensorimotor Integration and Movement Control,motor,Include,0.0617,motor,movement,movements,sensorimotor,primary,finger,control,imagery,sensory,execution,tasks,tapping,coordination,somatosensory,performed,bimanual,mi,simple,planning,ipsilateral
10,Drug Addiction and Substance Abuse,illicit_substances,Exclude,0.0102,cocaine,users,drug,bpd,controls,cannabis,addiction,craving,dependent,heroin,dependence,awareness,abuse,mj,abusers,chronic,pg,marijuana,addicts,abstinence
11,Music Perception and Auditory Processing,music,Exclude,0.0123,music,musical,pitch,auditory,musicians,sequences,rhythm,listening,beat,singing,vocal,rhythmic,melody,training,tones,tone,timing,perception,sequence,motor
12,Menstrual Cycle and Hormonal Regulation,NA,LowWeighting,0.0073,phase,women,cycle,phases,menstrual,hf,expression,sex,luteal,follicular,estradiol,lf,mid,progesterone,estrogen,hormones,users,covariance,hormone,oral
